"","Div","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","PSCH","PSCD","PSCA"
"73","SP1","30/09/2023","Girona","Real Madrid","A",0,3,4.08,4.06,1.88
"74","SP1","30/09/2023","Sociedad","Ath Bilbao","H",3,0,2.32,3.14,3.66
"75","SP1","01/10/2023","Almeria","Granada","D",3,3,1.98,3.73,3.99
"76","SP1","01/10/2023","Alaves","Osasuna","A",0,2,2.59,3.02,3.32
"77","SP1","01/10/2023","Ath Madrid","Cadiz","H",3,2,1.34,5.31,10.48
"78","SP1","01/10/2023","Betis","Valencia","H",3,0,2.07,3.41,4.04
"79","SP1","02/10/2023","Las Palmas","Celta","H",2,1,3.02,3.09,2.72
"80","SP1","06/10/2023","Ath Bilbao","Almeria","H",3,0,1.32,5.66,9.41
"81","SP1","07/10/2023","Cadiz","Girona","A",0,1,3.39,3.43,2.22
"82","SP1","07/10/2023","Real Madrid","Osasuna","H",4,0,1.27,6.43,11.77
"83","SP1","07/10/2023","Mallorca","Valencia","D",1,1,2.57,3,3.35
"84","SP1","07/10/2023","Sevilla","Vallecano","D",2,2,1.83,3.79,4.65
"85","SP1","08/10/2023","Villarreal","Las Palmas","A",1,2,1.65,4.12,5.59
"86","SP1","08/10/2023","Ath Madrid","Sociedad","H",2,1,2.04,3.4,4.39
"87","SP1","08/10/2023","Alaves","Betis","D",1,1,2.57,3.25,3.06
"88","SP1","08/10/2023","Celta","Getafe","D",2,2,2.04,3.29,4.38
"89","SP1","08/10/2023","Granada","Barcelona","D",2,2,6.83,5.19,1.45
"90","SP1","20/10/2023","Osasuna","Granada","H",2,0,1.69,3.89,5.67
"91","SP1","21/10/2023","Sociedad","Mallorca","H",1,0,1.69,3.59,6.36
"92","SP1","21/10/2023","Getafe","Betis","D",1,1,2.49,3.15,3.29
"93","SP1","21/10/2023","Sevilla","Real Madrid","D",1,1,4.8,4.13,1.74
"94","SP1","21/10/2023","Celta","Ath Madrid","A",0,3,3.43,3.55,2.23
"95","SP1","22/10/2023","Las Palmas","Vallecano","A",0,1,2.66,3.04,3.15
"96","SP1","22/10/2023","Girona","Almeria","H",5,2,1.39,5.33,8.24
"97","SP1","22/10/2023","Villarreal","Alaves","D",1,1,2.09,3.36,4.05
"98","SP1","22/10/2023","Barcelona","Ath Bilbao","H",1,0,1.86,3.79,4.49
"99","SP1","23/10/2023","Valencia","Cadiz","H",2,0,1.68,3.67,6.07
"100","SP1","27/10/2023","Girona","Celta","H",1,0,1.75,4.12,4.63
"101","SP1","28/10/2023","Almeria","Las Palmas","A",1,2,2.31,3.3,3.42
"102","SP1","28/10/2023","Barcelona","Real Madrid","A",1,2,2.58,3.49,2.83
"103","SP1","28/10/2023","Mallorca","Getafe","D",0,0,2.33,2.96,3.9
"104","SP1","28/10/2023","Cadiz","Sevilla","D",2,2,3.9,3.49,2.08
"105","SP1","29/10/2023","Betis","Osasuna","H",2,1,1.99,3.47,4.21
"106","SP1","29/10/2023","Vallecano","Sociedad","D",2,2,3.38,3.16,2.42
"107","SP1","29/10/2023","Ath Bilbao","Valencia","D",2,2,1.65,3.97,5.83
"108","SP1","29/10/2023","Ath Madrid","Alaves","H",2,1,1.45,4.57,8.2
"109","SP1","30/10/2023","Granada","Villarreal","A",2,3,2.99,3.64,2.39
"110","SP1","03/11/2023","Las Palmas","Ath Madrid","H",2,1,5.56,3.69,1.72
"111","SP1","04/11/2023","Osasuna","Girona","A",2,4,2.99,3.31,2.56
"112","SP1","04/11/2023","Betis","Mallorca","H",2,0,1.9,3.45,4.68
"113","SP1","04/11/2023","Celta","Sevilla","D",1,1,2.41,3.41,3.13
"114","SP1","04/11/2023","Sociedad","Barcelona","A",0,1,3.38,3.29,2.33
"115","SP1","05/11/2023","Alaves","Almeria","H",1,0,1.77,3.77,4.99
"116","SP1","05/11/2023","Valencia","Granada","H",1,0,1.67,4.15,5.29
"117","SP1","05/11/2023","Villarreal","Ath Bilbao","A",2,3,3.82,3.94,1.95
"118","SP1","05/11/2023","Real Madrid","Vallecano","D",0,0,1.22,6.9,13.8
"119","SP1","06/11/2023","Getafe","Cadiz","H",1,0,2.08,3.1,4.41
"120","SP1","10/11/2023","Ath Bilbao","Celta","H",4,3,1.71,4.04,5.04
"121","SP1","11/11/2023","Vallecano","Girona","A",1,2,2.99,3.5,2.46
"122","SP1","11/11/2023","Almeria","Sociedad","A",1,3,4.38,3.8,1.85
"123","SP1","11/11/2023","Granada","Getafe","D",1,1,2.49,3.19,3.19
"124","SP1","11/11/2023","Osasuna","Las Palmas","D",1,1,1.97,3.36,4.47
"125","SP1","11/11/2023","Real Madrid","Valencia","H",5,1,1.32,5.79,10.11
"126","SP1","12/11/2023","Barcelona","Alaves","H",2,1,1.25,6.51,12.09
"127","SP1","12/11/2023","Sevilla","Betis","D",1,1,2.24,3.46,3.42
"128","SP1","12/11/2023","Ath Madrid","Villarreal","H",3,1,1.34,5.81,8.91
"129","SP1","24/11/2023","Alaves","Granada","H",3,1,1.74,3.67,5.45
"130","SP1","25/11/2023","Vallecano","Barcelona","D",1,1,5,4.25,1.68
"131","SP1","25/11/2023","Valencia","Celta","D",0,0,2.3,3.32,3.44
"132","SP1","25/11/2023","Getafe","Almeria","H",2,1,1.78,3.68,5.06
"133","SP1","25/11/2023","Ath Madrid","Mallorca","H",1,0,1.36,5.1,9.85
"134","SP1","26/11/2023","Villarreal","Osasuna","H",3,1,2.2,3.46,3.52
"135","SP1","26/11/2023","Sociedad","Sevilla","H",2,1,1.63,3.95,6.09
"136","SP1","26/11/2023","Cadiz","Real Madrid","A",0,3,6.9,4.7,1.48
"137","SP1","26/11/2023","Betis","Las Palmas","H",1,0,1.72,3.74,5.55
"138","SP1","27/11/2023","Girona","Ath Bilbao","D",1,1,2.27,3.66,3.17
"139","SP1","29/11/2023","Mallorca","Cadiz","D",1,1,1.87,3.33,5.15
"140","SP2","11/08/2023","Amorebieta","Levante","D",1,1,3.19,3.13,2.54
"141","SP2","11/08/2023","Valladolid","Sp Gijon","H",2,0,1.94,3.4,4.55
"142","SP2","12/08/2023","Santander","Eibar","H",4,0,3.28,2.9,2.65
"143","SP2","12/08/2023","Zaragoza","Villarreal B","H",2,0,1.95,3.24,4.82
"144","SP2","12/08/2023","Elche","Ferrol","A",0,1,1.72,3.67,5.65
"145","SP2","13/08/2023","Burgos","Huesca","D",1,1,2.25,2.95,4.08
"146","SP2","13/08/2023","Albacete","Espanol","D",1,1,2.37,3.24,3.36
"147","SP2","13/08/2023","Cartagena","Eldense","A",0,1,2.22,3.15,3.83
"148","SP2","13/08/2023","Leganes","Andorra","A",0,1,2.51,2.92,3.49
"149","SP2","14/08/2023","Mirandes","Alcorcon","H",4,0,3.09,2.93,2.76
"150","SP2","14/08/2023","Tenerife","Oviedo","H",1,0,2,3.02,5.04
"151","SP2","18/08/2023","Andorra","Cartagena","H",3,2,1.88,3.56,4.6
"152","SP2","18/08/2023","Zaragoza","Valladolid","H",1,0,2.06,3.22,4.3
"153","SP2","19/08/2023","Eibar","Elche","H",2,1,2.33,3.02,3.75
"154","SP2","19/08/2023","Espanol","Santander","H",2,0,1.93,3.37,4.64
"155","SP2","19/08/2023","Levante","Burgos","H",3,2,1.93,3.26,4.9
"156","SP2","19/08/2023","Alcorcon","Leganes","A",0,2,2.71,2.85,3.26
"157","SP2","20/08/2023","Oviedo","Ferrol","D",1,1,2.15,2.95,4.47
"158","SP2","20/08/2023","Sp Gijon","Mirandes","H",3,0,2,3.24,4.55
"159","SP2","20/08/2023","Albacete","Amorebieta","D",2,2,1.66,3.65,6.48
"160","SP2","21/08/2023","Villarreal B","Eldense","H",3,1,2.36,3.15,3.49
"161","SP2","21/08/2023","Huesca","Tenerife","A",0,2,3.45,2.82,2.61
"162","SP2","25/08/2023","Cartagena","Levante","A",0,1,3.4,3.15,2.4
"163","SP2","26/08/2023","Burgos","Oviedo","H",1,0,2.42,2.84,3.81
"164","SP2","26/08/2023","Tenerife","Zaragoza","A",0,1,2.3,2.87,4.09
"165","SP2","26/08/2023","Elche","Villarreal B","H",1,0,1.6,4.12,6.2
"166","SP2","26/08/2023","Valladolid","Alcorcon","A",0,2,2.11,3.19,4.16
"167","SP2","27/08/2023","Ferrol","Sp Gijon","H",2,0,2.3,2.97,3.9
"168","SP2","27/08/2023","Amorebieta","Andorra","H",3,0,3.18,3.02,2.62
"169","SP2","27/08/2023","Mirandes","Espanol","A",0,1,3.54,3.12,2.35
"170","SP2","27/08/2023","Leganes","Albacete","H",2,0,2.76,2.88,3.15
"171","SP2","28/08/2023","Eldense","Eibar","H",2,1,2.99,2.84,2.94
"172","SP2","28/08/2023","Santander","Huesca","D",0,0,2.06,3.22,4.31
"173","SP2","01/09/2023","Alcorcon","Ferrol","D",1,1,2.28,2.95,3.99
"174","SP2","01/09/2023","Albacete","Valladolid","H",2,0,2.15,3.32,3.81
"175","SP2","02/09/2023","Sp Gijon","Burgos","H",2,1,2.39,3.02,3.6
"176","SP2","02/09/2023","Levante","Oviedo","D",1,1,1.96,3.14,4.96
"177","SP2","02/09/2023","Elche","Santander","D",1,1,1.92,3.51,4.46
"178","SP2","02/09/2023","Villarreal B","Cartagena","A",1,2,2.11,3.47,3.75
"179","SP2","03/09/2023","Andorra","Tenerife","A",0,1,2.24,3.03,3.98
"180","SP2","03/09/2023","Eibar","Leganes","A",0,1,1.87,3.34,5.14
"181","SP2","03/09/2023","Espanol","Amorebieta","H",3,2,1.54,3.99,7.65
"182","SP2","03/09/2023","Zaragoza","Eldense","H",2,0,1.83,3.28,5.59
"183","SP2","03/09/2023","Huesca","Mirandes","D",1,1,2.1,3.15,4.25
"184","SP2","08/09/2023","Levante","Espanol","A",1,4,2.55,3.27,2.97
"185","SP2","09/09/2023","Burgos","Eibar","H",1,0,3.36,3.01,2.51
"186","SP2","09/09/2023","Oviedo","Sp Gijon","D",0,0,2.53,2.88,3.51
"187","SP2","09/09/2023","Leganes","Huesca","H",2,0,2.04,3.12,4.58
"188","SP2","09/09/2023","Tenerife","Albacete","H",2,0,2.14,3.18,4.07
"189","SP2","10/09/2023","Ferrol","Villarreal B","D",2,2,1.88,3.53,4.63
"190","SP2","10/09/2023","Santander","Amorebieta","H",1,0,1.8,3.47,5.36
"191","SP2","10/09/2023","Cartagena","Zaragoza","A",1,3,3.1,2.96,2.7
"192","SP2","10/09/2023","Mirandes","Andorra","H",4,3,2.88,3.12,2.79
"193","SP2","10/09/2023","Valladolid","Elche","D",1,1,2.42,3.22,3.29
"194","SP2","11/09/2023","Eldense","Alcorcon","D",2,2,2.45,3.01,3.49
"195","SP2","15/09/2023","Zaragoza","Santander","D",1,1,2.1,3.1,4.37
"196","SP2","16/09/2023","Huesca","Villarreal B","D",2,2,1.9,3.39,4.8
"197","SP2","16/09/2023","Alcorcon","Levante","A",0,2,2.46,2.96,3.53
"198","SP2","16/09/2023","Valladolid","Cartagena","H",1,0,1.78,3.71,5.02
"199","SP2","16/09/2023","Albacete","Burgos","H",2,1,1.78,3.45,5.59
"200","SP2","17/09/2023","Amorebieta","Mirandes","H",2,0,2.48,3.17,3.24
"201","SP2","17/09/2023","Eibar","Ferrol","H",2,0,1.97,3.24,4.7
"202","SP2","17/09/2023","Elche","Leganes","H",1,0,1.88,3.31,5.07
"203","SP2","17/09/2023","Espanol","Eldense","D",3,3,1.56,4.04,6.99
"204","SP2","17/09/2023","Sp Gijon","Tenerife","H",2,1,2.62,2.82,3.44
"205","SP2","18/09/2023","Andorra","Oviedo","H",1,0,2.27,3.02,3.89
"206","SP2","22/09/2023","Cartagena","Eibar","A",1,2,3.51,3.08,2.39
"207","SP2","23/09/2023","Andorra","Sp Gijon","D",0,0,2.31,3.04,3.75
"208","SP2","23/09/2023","Levante","Eldense","H",2,0,1.75,3.61,5.47
"209","SP2","23/09/2023","Burgos","Elche","H",4,0,3.02,3.05,2.71
"210","SP2","23/09/2023","Alcorcon","Huesca","A",0,2,2.31,2.91,3.98
"211","SP2","23/09/2023","Santander","Albacete","H",2,1,2.66,3,3.15
"212","SP2","24/09/2023","Villarreal B","Amorebieta","H",3,1,2.33,3.35,3.34
"213","SP2","24/09/2023","Oviedo","Valladolid","A",0,1,2.51,2.92,3.48
"214","SP2","24/09/2023","Mirandes","Leganes","A",1,3,2.29,2.99,3.89
"215","SP2","25/09/2023","Ferrol","Zaragoza","H",1,0,2.26,3.06,3.85
