"","Div","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","PSCH","PSCD","PSCA"
"1","SP1","11/08/2023","Almeria","Vallecano","A",0,2,2.66,3.25,2.96
"2","SP1","11/08/2023","Sevilla","Valencia","A",1,2,1.94,3.46,4.58
"3","SP1","12/08/2023","Sociedad","Girona","D",1,1,1.85,3.6,4.91
"4","SP1","12/08/2023","Las Palmas","Mallorca","D",1,1,2.64,2.93,3.32
"5","SP1","12/08/2023","Ath Bilbao","Real Madrid","A",0,2,3.44,3.5,2.24
"6","SP1","13/08/2023","Celta","Osasuna","A",0,2,2.16,3.22,4.02
"7","SP1","13/08/2023","Villarreal","Betis","A",1,2,1.75,4.1,4.79
"8","SP1","13/08/2023","Getafe","Barcelona","D",0,0,7.46,4.04,1.55
"9","SP1","14/08/2023","Cadiz","Alaves","H",1,0,2.33,2.96,3.91
"10","SP1","14/08/2023","Ath Madrid","Granada","H",3,1,1.31,5.9,10.5
"11","SP1","18/08/2023","Mallorca","Villarreal","A",0,1,2.82,3.19,2.82
"12","SP1","18/08/2023","Valencia","Las Palmas","H",1,0,1.63,3.95,6.33
"13","SP1","19/08/2023","Sociedad","Celta","D",1,1,1.69,3.62,6.38
"14","SP1","19/08/2023","Almeria","Real Madrid","A",1,3,6.87,5.24,1.44
"15","SP1","19/08/2023","Osasuna","Ath Bilbao","A",0,2,2.96,3.01,2.85
"16","SP1","20/08/2023","Girona","Getafe","H",3,0,1.98,3.21,4.84
"17","SP1","20/08/2023","Barcelona","Cadiz","H",2,0,1.26,6.32,12.21
"18","SP1","20/08/2023","Betis","Ath Madrid","D",0,0,3.86,3.53,2.08
"19","SP1","21/08/2023","Alaves","Sevilla","H",4,3,3.4,3.08,2.48
"20","SP1","21/08/2023","Granada","Vallecano","A",0,2,2.94,3.15,2.74
"21","SP1","25/08/2023","Las Palmas","Sociedad","D",0,0,4.74,3.34,1.95
"22","SP1","25/08/2023","Celta","Real Madrid","A",0,1,4.41,3.72,1.89
